Country,iso,Fbc_mean,Fbc_std,Fbc_skew,Fbc_median,Fbc_q17,Fbc_q83,Fbc_min,Fbc_max
Afghanistan,AFG,-0.0036409904854841166,0.0009050916354689005,-1.7012076172375947,-0.00345972153930131,-0.0041646650198039,-0.00290105407723201,-0.00742167946180832,-0.00242331120738994
Angola,AGO,-0.030782092993969837,0.012285676333755144,0.04025219372015269,-0.03318844733324229,-0.0465147938341081,-0.01739249238204539,-0.04930977925858848,-0.0107437538341081
Albania,ALB,-0.00136869720994496,0.00018507101683849807,-0.6046508258605979,-0.00136685168314593,-0.00152063407899203,-0.0011749088802935272,-0.00212497381071933,-0.0010347138310350201
Andorra,AND,-0.00012159226972173052,1.0000514041406286e-05,0.9405278703820238,-0.00012511,-0.00012988000000000002,-0.000109984474,-0.00013505,-9.846e-05
United Arab Emirates,ARE,-0.05889049870494766,0.0017651595570722938,-0.1772763766806321,-0.058816418957854104,-0.0611028348049493,-0.0568117649490616,-0.0614394748049493,-0.0562292510083716
Argentina,ARG,-0.07119050451683011,0.01989003521093482,-0.05076018636472976,-0.07717268199522599,-0.0898025663623858,-0.0460208763623858,-0.1203536827949192,-0.038310294553348306
Armenia,ARM,-0.0018173701713048768,0.00026335972743098525,-0.5217354066265838,-0.00179408558739833,-0.00207717883422811,-0.0015397204770241802,-0.0025430388342281103,-0.00142222639553552
Antigua and Barbuda,ATG,-0.00016278669869849372,8.65977110253569e-06,0.38546303725380376,-0.00016374,-0.000173137896192552,-0.00015368,-0.00017502,-0.00014047000000000002
Australia,AUS,-0.11968774974470674,0.010365749636127417,-0.6868830332670848,-0.11880048091819,-0.129836939636507,-0.10961133091819,-0.15671872105343698,-0.099490542638081
Austria,AUT,-0.016790764483907726,0.001724443316243796,0.7598665783545452,-0.017393597337159,-0.0183709707545516,-0.0145332707545516,-0.0196436984428831,-0.012730312703010203
Azerbaijan,AZE,-0.010525178259670295,0.0008077254768305865,-0.618434779902887,-0.01041571436343954,-0.0113713952535707,-0.00972333388529207,-0.013500853204344099,-0.00903056099771828
Burundi,BDI,-0.0008276710147965826,0.0005167313323400592,-0.7023093726968365,-0.0005675,-0.0014617894243826271,-0.00038531000000000004,-0.002023233633406273,-0.00021097
Belgium,BEL,-0.027052475247551815,0.0012392250538574394,0.7205163144318452,-0.0273384473863795,-0.0281040525714529,-0.025581225739782103,-0.029059985365976003,-0.0239441845847085
Benin,BEN,-0.004935532254221666,0.002101595367547921,-0.17104099902334752,-0.00489292879464427,-0.007211155668297409,-0.0025403432761645904,-0.00941126174168883,-0.00117861217716781
Burkina Faso,BFA,-0.0061142233942953,0.0015597066569421711,0.055061480384584374,-0.006647485769909888,-0.00769403242095061,-0.00433494877296271,-0.00900777529307624,-0.003542245769909888
Bangladesh,BGD,-0.02496041728841828,0.005354628553066259,-0.08969487837923071,-0.0245858788198463,-0.0308926288198463,-0.019610847365921797,-0.0361986569599095,-0.0135660729892153
Bulgaria,BGR,-0.011138872655918647,0.0011287506418114195,0.3424592575404182,-0.0112117214024352,-0.0123258487363537,-0.0100314495742358,-0.013664189115720501,-0.008147397789301302
Bahrain,BHR,-0.009264818105491996,0.0007405355725041271,-0.27193082825465703,-0.00886872614925414,-0.0101699336860394,-0.00846062206062553,-0.0102147398291861,-0.008409981538066392
Bahamas,BHS,-0.0006275945789165428,4.5570554697735274e-05,0.2635260496969481,-0.0006175200000000001,-0.000675903556581957,-0.0005829899999999999,-0.0006895200000000001,-0.00054118
Bosnia and Herzegovina,BIH,-0.005736956552908037,0.0004929480120141269,0.3470457846349083,-0.00576312820554442,-0.0062202755086368106,-0.005277522364455806,-0.00673569080504806,-0.004050263484042671
Belarus,BLR,-0.018267546489134923,0.0013954631033201589,0.08665843455654577,-0.01849454803503905,-0.0197440778683875,-0.0167521482241854,-0.021317776411098097,-0.0153249082241854
Belize,BLZ,-0.001825559023596493,0.0006014212493770237,-0.46681418938427116,-0.001762478415465315,-0.0024827384154653153,-0.00121364,-0.0032133400000000003,-0.0008869
Bolivia,BOL,-0.021301534431477125,0.004890511006263175,0.2110065518838415,-0.02194989809844107,-0.027148653707427972,-0.01621826199375351,-0.02939946571307793,-0.01006021809844107
Brazil,BRA,-0.4455026471551252,0.10340419450347747,0.660172821995834,-0.4691670344609651,-0.5372742444541481,-0.294651479519651,-0.623326496768559,-0.218329508423853
Barbados,BRB,-0.0004125836410404213,5.849800899760413e-05,0.6537454351292894,-0.00043691973951679,-0.00046023973951679,-0.000334977206956389,-0.0004973540137103389,-0.000293757206956389
Brunei,BRN,-0.0026736559735037967,0.0004324019051475516,0.1159106756640168,-0.0026598012053281397,-0.0031289350525181,-0.0021546000835424304,-0.00357301800260679,-0.0017629282735309
Bhutan,BTN,-0.0008376610552093375,0.0011633381690032499,-0.4162041631345733,-0.00017030242895549804,-0.002136062428955498,0.000288759253275109,-0.0037244424289554984,0.00050610916929315
Botswana,BWA,-0.003453781214503946,0.002566789110967833,-1.0050106671525958,-0.00222349,-0.00763835351129077,-0.0014903196883415564,-0.008140865756832101,-0.00108130770292037
Central African Republic,CAF,-0.001814006170692445,0.0011336130898675608,-0.6377271118752236,-0.00163405,-0.00353315,-0.00070031,-0.003823561229465517,-0.00037013000000000004
Canada,CAN,-0.18142888078758412,0.012980023360075857,-0.19294665479559628,-0.180131451580535,-0.195077901580535,-0.168065964673734,-0.21271127158053502,-0.15322084365737199
Switzerland,CHE,-0.009954361633555543,0.000838305815502417,-0.08996254849443824,-0.009936712014219801,-0.0106238215177041,-0.009142792014219801,-0.011856305049829199,-0.00804013025858705
Chile,CHL,-0.02412694186188512,0.003913116002750354,-0.2700992036906506,-0.0240063932768659,-0.0289052313710204,-0.019564214606990198,-0.033107459217473004,-0.0174492796812071
China,CHN,-2.8166373152221875,0.17016185306413786,-0.5642347943382335,-2.751862376585528,-3.0520956663948815,-2.655733900470629,-3.1756909863948817,-2.573237711269322
Ivory Coast,CIV,-0.025798807665524656,0.011752618099042352,-1.3067447464622297,-0.020141311858582353,-0.03480657484521631,-0.015268123206257492,-0.07068043640204837,-0.01089971073610382
Cameroon,CMR,-0.009563995065234967,0.0030161785031817784,-0.41086728417509105,-0.00869893432815649,-0.0129573528530569,-0.006551916699210651,-0.01714372947496261,-0.00448836432815649
Democratic Republic of the Congo,COD,-0.1528276265791608,0.03428611044276398,-1.236564079831898,-0.1476707350429962,-0.18086797163011073,-0.12386176456564586,-0.26333726374831545,-0.09970749163011076
Congo,COG,-0.005155795646581279,0.0018082384621756864,-0.7568435259476133,-0.004668334360897209,-0.007023604463668498,-0.0034842341851435013,-0.00968990835401462,-0.0024005231171373683
Cook Islands,COK,-1.6907255512321644e-05,4.856263597279785e-06,0.5058516827574063,-1.8e-05,-2.2e-05,-1.139e-05,-2.3e-05,-4.82e-06
Colombia,COL,-0.04357355259360189,0.010619054115240353,-0.8836276102293971,-0.042260068238880705,-0.05196269526796521,-0.0345986864869121,-0.0730043180393118,-0.0249686820223357
Comoros,COM,-8.31113007305013e-05,3.114285230661501e-05,-0.5355315782430689,-8e-05,-0.00012677816098304701,-5e-05,-0.00014748922,-4.4e-05
Cape Verde,CPV,-0.00014369126764462016,8.65886001425009e-06,-0.4295758678199605,-0.00014099999999999998,-0.000153,-0.00013486,-0.000169011363968265,-0.00013263
Costa Rica,CRI,-0.0031375616326156054,0.000792726027606024,-0.7471101436369313,-0.0029381340495431597,-0.00410632671277666,-0.0023735175127040497,-0.005411373177235541,-0.00186800613509747
Cuba,CUB,-0.005957326352939292,0.0015260329111781757,0.15466448855922707,-0.005986035243546591,-0.00736790348863329,-0.00458724193471864,-0.009841421934718639,-0.00238518405690099
Cyprus,CYP,-0.0018467535346572092,0.0001403889142867329,0.485959068732258,-0.0018525537619235003,-0.00197544238783462,-0.0017345937619235002,-0.00217536733326303,-0.00128545367463823
Czechia,CZE,-0.025563746772683398,0.004314172829943242,-0.127941961078356,-0.026035348422594598,-0.0287354468922826,-0.0210214265805672,-0.0374344456747678,-0.0152271024880579
Germany,DEU,-0.19835404017889485,0.01932918921167327,0.35456341274374026,-0.196357412987863,-0.217687626550109,-0.17877681915306,-0.230082948325592,-0.15360397915306
Djibouti,DJI,-0.0001271724698060114,1.5903245980085984e-05,-0.974709248621419,-0.000125479530390089,-0.00014086375649380596,-0.00011206838817282,-0.00017816511290773003,-9.584838817282e-05
Dominica,DMA,-3.6342987282669706e-05,1.5250107861937263e-05,0.8664125862847061,-4.276999999999999e-05,-4.7310000000000006e-05,-1.4460000000000007e-05,-6.467e-05,-2.320000000000005e-06
Denmark,DNK,-0.010097247861410297,0.0011909642832008756,-0.24930804603149653,-0.010165417747750465,-0.011112635471596301,-0.008752981458915173,-0.0131320654456973,-0.008003176023528631
Dominican Republic,DOM,-0.006755261722422776,0.001351910491308924,-2.3323283846551983,-0.006479352070741831,-0.00740318674112189,-0.0058209384628797305,-0.0126671247597635,-0.004866581423932449
Algeria,DZA,-0.04102911682008422,0.003624702549036799,0.2194328066458462,-0.0412023526610341,-0.04506250745925079,-0.0374074557179005,-0.0474626201732084,-0.03319037816139169
Ecuador,ECU,-0.016111158676762192,0.003950962800851101,-0.9530977389126157,-0.015398618626964,-0.0195715477948979,-0.012668838626964,-0.0287105829128565,-0.00796425854105959
Egypt,EGY,-0.06576687708086514,0.005457290936837623,-0.13019118847669253,-0.0655585291509653,-0.0711461243395726,-0.060533965818982,-0.0769858347196031,-0.0564170296672018
Eritrea,ERI,-0.0005822720829073179,0.0005540457827241677,-1.6273244105228357,-0.000378690315799255,-0.001297021366419722,-0.000203605157269396,-0.002004583542193279,-0.000118615157269396
Spain,ESP,-0.06493608851400978,0.005325497252259125,0.5734749697877881,-0.0656283839776549,-0.0701720982047689,-0.059272454796697106,-0.0742181668504205,-0.0519755455284373
Estonia,EST,-0.004310573552867721,0.0010485574997534982,0.3215489242591573,-0.00459060572931472,-0.00542141503006587,-0.0030593121507996395,-0.00599689642154222,-0.0019959596642748698
Ethiopia,ETH,-0.021648068939735345,0.03157006123914957,0.32172943804391985,-0.02308549127135653,-0.06278868480994504,0.00899165368343833,-0.07416717041331966,0.04417447519005497
Finland,FIN,-0.017794993919611358,0.003983074709335943,-1.2033656629019942,-0.0167358875982533,-0.0210527175982533,-0.0145639813100437,-0.0315255175982533,-0.01249763126637555
Fiji,FJI,-0.00026673078818070784,0.00010557944537834031,-0.13888633330189407,-0.000263541038961039,-0.0003655769525,-0.000171501038961039,-0.000566901038961039,2.5499999999999807e-06
France,FRA,-0.07754737539596597,0.011073439586344127,0.22014409114350608,-0.07741408995771415,-0.08900721085381293,-0.06600119374959915,-0.10143221592483113,-0.04770959412838975
Micronesia (Federated States of),FSM,-2.3662636178657895e-05,1.8600700007816508e-05,0.7951304156565273,-2.6358106822933102e-05,-3.9e-05,6.089999999999998e-06,-4.06781068229331e-05,8.570000000000001e-06
Gabon,GAB,-0.003014342475764012,0.0008596860240802744,-0.910719161795248,-0.002889102582598163,-0.0036305725825981627,-0.00225258917033177,-0.00538245430554348,-0.001476226482075296
United Kingdom,GBR,-0.1085037452103335,0.013374371677994636,-0.282471066024838,-0.10794392358830002,-0.122619697931342,-0.093288522967835,-0.13611745021847002,-0.08587282803002891
Georgia,GEO,-0.0012918684580929848,0.0006874520797719674,0.8281312958270673,-0.0015268547959681699,-0.00187855199793812,-0.00044448108429614,-0.0026390211522611205,0.00055678528583808
Ghana,GHA,-0.006886996876150084,0.0034953760070873816,0.24832491218452338,-0.00738856584747128,-0.010707476341578441,-0.0025104325989436706,-0.01328691584747128,0.0001199727191311499
Guinea,GIN,-0.005489110746100163,0.0011236284065775223,-0.6541623266314991,-0.0053132100000000005,-0.006659722038946163,-0.004355772038946163,-0.00895205,-0.00383093
Gambia,GMB,-0.0004498569611928955,0.00025607802477747285,-0.6695860417436887,-0.00045308,-0.00072763,-0.00019105,-0.001145827856216522,-9.454000000000001e-05
Guinea-Bissau,GNB,-0.0005572482374079475,0.00026771773646948815,0.22641753956232766,-0.00075633,-0.0008165399999999999,-0.00021911,-0.00091038,-0.00015451
Equatorial Guinea,GNQ,-0.002369671129902104,0.00047551450859921555,0.2630888283199096,-0.00238042694956883,-0.00282852677650737,-0.0019162479391135103,-0.0036772667765073703,-0.0008497158227536401
Greece,GRC,-0.01724594305052081,0.0030285812480083593,0.3949096027890416,-0.017595312040623902,-0.0200992860670412,-0.014439398526001498,-0.0243478838946484,-0.0086199769266666
Grenada,GRD,-6.999087024750383e-05,1.5770669094132543e-05,0.7909923891697939,-7.3e-05,-8.451386444614601e-05,-5.2869754648999965e-05,-9.002e-05,-2.3859999999999992e-05
Guatemala,GTM,-0.011184474970712332,0.003564981064583119,-0.21098061565154394,-0.011672462173827919,-0.013445037296384469,-0.007676275588790469,-0.02105452910730923,-0.00375277534043
Guyana,GUY,-0.0018313036801961356,0.0009050461380943428,0.19067281529720193,-0.0019109752387236971,-0.002713545238723697,-0.0007119387681927751,-0.004040978313310457,0.00025345999999999995
Honduras,HND,-0.005351064630182699,0.001572836766697563,-0.5889976362603561,-0.00500230412663755,-0.00715567412663755,-0.00395901412663755,-0.00974198802209093,-0.00279971194323144
Croatia,HRV,-0.004330450552062499,0.00048780364870341225,-0.5005870626212883,-0.004246880319323141,-0.00483980646834061,-0.0038635464683406096,-0.00580836464792576,-0.00336265446779476
Haiti,HTI,-0.0010465002108546433,0.0007315658061518972,0.012392984816322672,-0.001128555309089318,-0.0015166517561928951,-0.000379257427677772,-0.0031443408477969683,0.000606128507498558
Hungary,HUN,-0.011110604394903129,0.0014316327662384524,-0.0007747139015272247,-0.0111124858242358,-0.012716253168668102,-0.0095929304994542,-0.014178985,-0.0080135313537118
Indonesia,IDN,-0.390872614286314,0.08640889672849479,-0.9403659638399051,-0.37347441974642803,-0.46698782974265796,-0.31966246911389,-0.666932276994602,-0.250603199746428
India,IND,-0.648389522936692,0.0771418839949553,0.22032197807832668,-0.6483893896135691,-0.7230990071956631,-0.5700020596135691,-0.83147239577014,-0.44618345102799
Ireland,IRL,-0.009644605808375575,0.0020590333012030517,0.7675306605342394,-0.010302977868856198,-0.0114881013914259,-0.0064995608515713,-0.0125987513914259,-0.0053570829302425
Iran,IRN,-0.18091558572749644,0.01495893502698815,-0.32076614835816086,-0.180914867359925,-0.19940302888050002,-0.165812237578286,-0.2203377388805,-0.153297187578286
Iraq,IRQ,-0.03673485509608945,0.004338436233571933,-0.2408511233942261,-0.0359089969406693,-0.0416521040162956,-0.0318486782016756,-0.049025326695769804,-0.0299833873079384
Iceland,ISL,-0.001041614217289847,5.4072690444854935e-05,0.25187757938546984,-0.00104371913209607,-0.001096623921943232,-0.000985416462882096,-0.0011498367003275102,-0.000894416462882096
Israel,ISR,-0.01647816446332233,0.0007476344280273158,-0.07206097255794629,-0.016443890381140202,-0.0172121326510914,-0.015682631943063,-0.0182942837510914,-0.015150683234786001
Italy,ITA,-0.08916408861164639,0.006322519825843578,0.6780257663152441,-0.09034695059721999,-0.0954338113779494,-0.0827590982156859,-0.10122367146736501,-0.06944749773809611
Jamaica,JAM,-0.0020010380209239966,0.0002571602895460851,-0.09247458937540384,-0.0019933981950981897,-0.00224304110920969,-0.0017635711092096904,-0.0027612712858123504,-0.00135214628122392
Jordan,JOR,-0.00654968935125662,0.0005713552275453639,0.585844650684876,-0.006771813985741769,-0.00706146466712096,-0.00573149981284462,-0.00746833961721976,-0.0054298068024391
Japan,JPN,-0.3126708104518547,0.025259881171146845,-0.12787825635549374,-0.312518333403944,-0.33975124989690897,-0.28268000152071,-0.359830477007964,-0.27406499838949405
Kazakhstan,KAZ,-0.07983378566288134,0.010896839745304738,-0.7641057206684737,-0.0773299214949333,-0.09269017132953919,-0.0682204420623817,-0.11109340264082959,-0.06496492693797709
Kenya,KEN,-0.007077765908741678,0.003112762252819484,-0.5178643410111174,-0.00699808814272654,-0.01026238899773994,-0.00381001514572114,-0.015928642856404822,-0.0017819182509194102
Kyrgyzstan,KGZ,-0.0029932301533028764,0.0006430961459347384,-1.0488426490673093,-0.00273807397507891,-0.0038831235811857406,-0.00249684838427948,-0.00472229536026201,-0.00214314874055199
Cambodia,KHM,-0.015099816185839287,0.00525562963476618,-0.17645367586574792,-0.014651746593886461,-0.01980735909128717,-0.010855907582340788,-0.02856512040906658,0.00088463115720524
Kiribati,KIR,-1.6909308512321643e-05,1.633308643940535e-06,0.5757539657423617,-1.8e-05,-1.83783848055795e-05,-1.5e-05,-1.86973057062245e-05,-1.4e-05
Saint Kitts and Nevis,KNA,-5.890161990525137e-05,7.856670055102465e-06,0.9077655005894011,-6.27311218088958e-05,-6.500000000000001e-05,-4.723000000000001e-05,-6.900000000000001e-05,-4.072e-05
South Korea,KOR,-0.16943070609215208,0.005986641517158659,0.033250612463495685,-0.16968328875471902,-0.175089073924391,-0.16226676221237302,-0.181857074182362,-0.158252910210739
Kuwait,KWT,-0.026208148522253016,0.002873284212941306,0.8013723854267897,-0.026595899917941902,-0.0294284408175857,-0.0223490471423589,-0.0295128681795296,-0.020139471057842702
Laos,LAO,-0.01098111041474924,0.004494962050449853,-0.25904186501194,-0.01026444364096711,-0.01625246364096711,-0.00681315016842796,-0.021145403045659268,0.00010942983157204004
